Time (s),Y Position (pixels)
-4.510869565217391,-19.516158725376982
-4.456521739130437,-19.516158725376982
-4.402173913043477,-19.516158725376982
-4.3478260869565215,-19.516158725376982
-4.293478260869566,-19.516158725376982
-4.2391304347826075,-19.516158725376982
-4.184782608695652,-19.516158725376982
-4.130434782608695,-19.516158725376982
-4.076086956521738,-19.516158725376982
-4.02173913043478,-19.516158725376982
-3.9673913043478244,-19.516158725376982
-3.9130434782608674,-19.516158725376982
-3.8586956521739104,-19.516158725376982
-3.8043478260869534,-19.516158725376982
-3.7499999999999964,-19.516158725376982
-3.695652173913043,-18.892905558065973
-3.6413043478260896,-18.892905558065973
-3.586956521739129,-18.892905558065973
-3.532608695652172,-18.892905558065973
-3.4782608695652186,-18.669729376914194
-3.423913043478258,-18.669729376914194
-3.3695652173913047,-18.669729376914194
-3.3152173913043477,-18.669729376914194
-3.2608695652173907,-18.669729376914194
-3.2065217391304337,-18.3920771200482
-3.1521739130434767,-18.3920771200482
-3.0978260869565197,-18.3920771200482
-3.0434782608695627,-18.3920771200482
-2.9891304347826058,-18.3920771200482
-2.9347826086956488,-18.946210105270204
-2.880434782608692,-18.946210105270204
-2.826086956521742,-18.3920771200482
-2.7717391304347814,-18.3920771200482
-2.7173913043478244,-18.3920771200482
-2.6630434782608674,-18.3920771200482
-2.608695652173914,-18.3920771200482
-2.554347826086957,-18.757008250907933
-2.5,-18.757008250907933
-2.445652173913043,-18.757008250907933
-2.391304347826086,-18.757008250907933
-2.336956521739129,-19.516158725376982
-2.282608695652172,-19.516158725376982
-2.228260869565215,-19.516158725376982
-2.173913043478258,-19.516158725376982
-2.1195652173912976,-19.516158725376982
-2.0652173913043477,-19.516158725376982
-2.0108695652173907,-19.516158725376982
-1.9565217391304373,-19.516158725376982
-1.9021739130434767,-19.516158725376982
-1.8478260869565197,-19.572977858111162
-1.7934782608695663,-19.389633646298808
-1.7391304347826093,-19.572977858111162
-1.6847826086956523,-19.572977858111162
-1.6304347826086953,-19.572977858111162
-1.5760869565217384,-19.572977858111162
-1.5217391304347778,-19.191059563856673
-1.4673913043478244,-19.191059563856673
-1.4130434782608674,-19.191059563856673
-1.3586956521739104,-19.191059563856673
-1.3043478260869534,-19.191059563856673
-1.2499999999999964,-19.572977858111162
-1.1956521739130466,-19.191059563856673
-1.141304347826086,-19.572977858111162
-1.086956521739129,-19.191059563856673
-1.0326086956521756,-19.191059563856673
-0.9782608695652186,-19.191059563856673
-0.9239130434782581,-19.572977858111162
-0.8695652173913047,-19.191059563856673
-0.8152173913043477,-19.572977858111162
-0.7608695652173871,-19.191059563856673
-0.7065217391304337,-19.389633646298808
-0.6521739130434767,-19.389633646298808
-0.5978260869565197,-19.389633646298808
-0.5434782608695627,-19.389633646298808
-0.48913043478260576,-19.389633646298808
-0.4347826086956488,-19.389633646298808
-0.3804347826086989,-19.389633646298808
-0.32608695652173836,-19.389633646298808
-0.2717391304347849,-19.389633646298808
-0.2173913043478244,-19.722933507388998
-0.1630434782608674,-19.722933507388998
-0.10869565217391397,-19.722933507388998
-0.054347826086956985,-19.722933507388998
0.0,-19.722933507388998
0.054347826086956985,-19.496242740707267
0.10869565217391397,-19.722933507388998
0.1630434782608745,-19.722933507388998
0.21739130434782794,-19.722933507388998
0.2717391304347849,-19.722933507388998
0.32608695652174546,-19.722933507388998
0.38043478260869534,-19.722933507388998
0.43478260869565233,-20.0
0.48913043478261287,-20.0
0.5434782608695663,-20.0
0.5978260869565233,-20.0
0.6521739130434767,-20.0
0.7065217391304337,-20.0
0.7608695652173907,-20.0
0.8152173913043477,-20.0
0.8695652173913082,-20.0
0.9239130434782652,-19.495071212197285
0.9782608695652186,-18.590065438235342
1.0326086956521756,-18.590065438235342
1.0869565217391326,-19.2238623621362
1.1413043478260896,-19.2238623621362
1.1956521739130466,-19.2238623621362
1.25,-19.2238623621362
1.304347826086957,-19.2238623621362
1.358695652173914,-18.959096918880018
1.4130434782608674,-18.959096918880018
1.467391304347828,-18.959096918880018
1.521739130434785,-18.959096918880018
1.5760869565217384,-18.959096918880018
1.6304347826086953,-18.959096918880018
1.6847826086956559,-18.959096918880018
1.7391304347826093,-18.959096918880018
1.7934782608695663,-18.959096918880018
1.8478260869565233,-18.959096918880018
1.9021739130434803,-18.590065438235342
1.9565217391304408,-18.590065438235342
2.0108695652173942,-18.590065438235342
2.065217391304344,-18.959096918880018
2.1195652173913047,-18.959096918880018
2.173913043478265,-18.959096918880018
2.2282608695652186,-19.37206071864906
2.2826086956521756,-18.959096918880018
2.3369565217391326,-18.959096918880018
2.391304347826086,-19.37206071864906
2.445652173913043,-18.959096918880018
2.5,-18.959096918880018
2.554347826086957,-18.959096918880018
2.6086956521739175,-18.590065438235342
2.663043478260871,-19.2238623621362
2.717391304347828,-19.2238623621362
2.7717391304347885,-18.590065438235342
2.8260869565217384,-19.2238623621362
2.8804347826086953,-18.590065438235342
2.934782608695656,-18.590065438235342
2.9891304347826093,-18.590065438235342
3.0434782608695663,-18.590065438235342
3.0978260869565233,-18.590065438235342
3.1521739130434767,-18.590065438235342
3.2065217391304373,-18.590065438235342
3.2608695652173907,-18.590065438235342
3.3152173913043512,-18.590065438235342
3.369565217391308,-18.590065438235342
3.4239130434782616,-18.590065438235342
3.4782608695652186,-18.590065438235342
3.5326086956521756,-18.590065438235342
3.5869565217391326,-18.590065438235342
3.6413043478260896,-18.590065438235342
3.695652173913043,-18.590065438235342
3.75,-18.590065438235342
3.804347826086957,-18.590065438235342
3.858695652173914,-18.590065438235342
3.913043478260871,-18.590065438235342
3.967391304347828,-19.2238623621362
4.021739130434785,-19.2238623621362
4.076086956521738,-19.2238623621362
4.130434782608699,-19.2238623621362
4.184782608695656,-19.2238623621362
4.239130434782609,-19.2238623621362
4.29347826086957,-19.097337283058025
4.347826086956523,-19.097337283058025
4.402173913043484,-19.097337283058025
4.456521739130437,-18.554919582935852
4.510869565217391,-18.554919582935852
4.565217391304348,-18.554919582935852
4.619565217391308,-18.554919582935852
4.673913043478262,-18.554919582935852
4.728260869565219,-18.554919582935852
4.782608695652176,-18.554919582935852
4.836956521739129,-18.554919582935852
4.89130434782609,-18.554919582935852
4.945652173913047,-18.554919582935852
5.0000000000000036,-19.496242740707267
5.0543478260869605,-19.40954963096852
5.108695652173914,-19.40954963096852
5.163043478260871,-19.496242740707267
5.2173913043478315,-19.496242740707267
5.271739130434781,-19.496242740707267
5.326086956521738,-19.496242740707267
5.380434782608699,-19.496242740707267
5.434782608695652,-19.496242740707267
5.489130434782609,-19.496242740707267
5.543478260869566,-19.496242740707267
5.597826086956523,-19.496242740707267
5.65217391304348,-19.496242740707267
5.706521739130437,-19.496242740707267
5.760869565217394,-19.496242740707267
5.815217391304351,-19.496242740707267
5.869565217391308,-19.496242740707267
5.923913043478262,-19.496242740707267
5.978260869565219,-19.496242740707267
6.032608695652179,-19.496242740707267
6.086956521739133,-19.496242740707267
6.141304347826086,-19.496242740707267
6.195652173913043,-19.191059563856673
6.2500000000000036,-19.191059563856673
6.3043478260869605,-19.191059563856673
6.358695652173914,-19.191059563856673
6.413043478260871,-19.191059563856673
6.4673913043478315,-19.191059563856673
6.521739130434781,-19.191059563856673
6.576086956521742,-19.191059563856673
6.630434782608699,-19.191059563856673
6.684782608695656,-19.191059563856673
6.739130434782609,-19.191059563856673
6.79347826086957,-19.191059563856673
6.84782608695652,-19.191059563856673
6.90217391304348,-19.191059563856673
6.956521739130434,-19.191059563856673
7.010869565217394,-19.191059563856673
7.065217391304351,-19.191059563856673
7.119565217391305,-19.191059563856673
7.173913043478265,-19.191059563856673
7.228260869565219,-19.389633646298808
7.282608695652176,-19.389633646298808
7.336956521739133,-19.389633646298808
7.391304347826093,-19.389633646298808
7.445652173913043,-19.572977858111162
7.5000000000000036,-19.572977858111162
7.554347826086953,-19.572977858111162
7.608695652173914,-19.572977858111162
7.663043478260871,-19.572977858111162
7.7173913043478315,-19.572977858111162
7.771739130434781,-19.572977858111162
7.826086956521742,-18.912821542735685
7.8804347826087024,-18.757008250907933
7.934782608695652,-18.669729376914194
7.989130434782613,-18.3920771200482
8.043478260869566,-18.669729376914194
8.097826086956527,-18.3920771200482
8.15217391304348,-18.669729376914194
8.206521739130437,-18.3920771200482
8.26086956521739,-18.669729376914194
8.315217391304351,-18.3920771200482
8.369565217391305,-18.669729376914194
8.423913043478265,-18.3920771200482
8.478260869565215,-18.669729376914194
8.532608695652176,-18.3920771200482
8.586956521739129,-18.669729376914194
8.641304347826086,-19.516158725376982
8.695652173913047,-19.516158725376982
8.750000000000004,-19.516158725376982
8.80434782608696,-19.516158725376982
8.858695652173914,-19.516158725376982
8.913043478260875,-19.516158725376982
8.967391304347824,-19.516158725376982
9.021739130434785,-19.516158725376982
9.076086956521742,-19.516158725376982
9.130434782608699,-19.516158725376982
9.184782608695652,-19.516158725376982
9.239130434782613,-19.516158725376982
9.293478260869563,-19.516158725376982
9.347826086956523,-19.516158725376982
9.402173913043477,-19.516158725376982
9.45652173913043,-19.572977858111162
9.510869565217398,-19.516158725376982
9.565217391304348,-19.516158725376982
9.619565217391308,-19.516158725376982
9.673913043478262,-19.516158725376982
9.728260869565215,-19.516158725376982
9.782608695652176,-19.516158725376982
9.836956521739136,-18.669729376914194
9.891304347826082,-19.516158725376982
9.945652173913047,-19.516158725376982
10.0,-19.516158725376982
10.054347826086957,-18.669729376914194
10.108695652173914,-19.516158725376982
10.163043478260875,-19.516158725376982
10.217391304347824,-18.669729376914194
10.271739130434781,-18.669729376914194
10.326086956521745,-18.892905558065973
10.380434782608695,-18.892905558065973
10.434782608695656,-18.892905558065973
10.48913043478261,-18.892905558065973
10.543478260869563,-18.892905558065973
10.597826086956523,-18.892905558065973
10.65217391304348,-18.892905558065973
10.70652173913043,-18.669729376914194
10.760869565217394,-18.669729376914194
10.815217391304348,-18.669729376914194
10.869565217391308,-18.669729376914194
10.923913043478262,-18.669729376914194
10.978260869565219,-18.669729376914194
11.032608695652172,-18.669729376914194
11.086956521739125,-18.892905558065973
